"UserName","EventID","LogHost","LogonID","DomainName","ParentProcessName","ParentProcessID","ProcessName","Time","ProcessID","LogonTypeDescription","LogonType","Source","AuthenticationPackage","Destination","SubjectUserName","SubjectLogonID","SubjectDomainName","Status"
"Comp758015$","4688","Comp758015","0x3e7","Domain001","svchost","0x3ac","wmiprvse.exe","5334792","0x2d08","","","","","","","","",""
"Comp491734$","4688","Comp491734","0x3e7","Domain001","svchost","0x3a8","dllhost.exe","5334792","0x1110","","","","","","","","",""
"Comp093220$","4688","Comp093220","0x3e7","Domain001","svchost","0x360","dllhost.exe","5334792","0x1d8","","","","","","","","",""
"Comp170567$","4688","Comp170567","0x3e7","Domain001","svchost","0x348","wmiprvse.exe","5334792","0x1868","","","","","","","","",""
"Comp009410$","4688","Comp009410","0x3e7","Domain001","Proc443607","0x1360","searchprotocolhost.exe","5334792","0x2908","","","","","","","","",""
"Comp009410$","4688","Comp009410","0x3e7","Domain001","Proc443607","0x1360","searchfilterhost.exe","5334792","0x1f38","","","","","","","","",""
"Comp044454$","4688","Comp044454","0x3e7","Domain001","services","0x2f4","Proc318985.exe","5334792","0x1ff0","","","","","","","","",""
"Comp430172$","4688","Comp430172","0x3e7","Domain001","svchost","0x39c","wmiprvse.exe","5334792","0x1908","","","","","","","","",""
"Comp570886$","4688","Comp570886","0x3e7","Domain001","svchost","0x358","dllhost.exe","5334792","0x1478","","","","","","","","",""
"AppService","4634","EnterpriseAppServer","0x141d307","Domain001","","","","5334792","","Network","3","","","","","","",""
"Comp936634$","4688","Comp936634","0x3e7","Domain001","Proc247259","0x96c","cscript.exe","5334792","0x1774","","","","","","","","",""
"Comp526319$","4688","Comp526319","0x3e7","Domain001","svchost","0x340","dllhost.exe","5334792","0x5208","","","","","","","","",""
"Comp430172$","4688","Comp430172","0x3e7","Domain001","svchost","0x39c","wmiprvse.exe","5334792","0x1e58","","","","","","","","",""
"Comp590379$","4688","Comp590379","0x3e7","Domain001","svchost","0x354","dllhost.exe","5334792","0x1d34","","","","","","","","",""
"Comp382693$","4688","Comp382693","0x3e7","Domain001","svchost","0x370","dllhost.exe","5334792","0x46bc","","","","","","","","",""
"Comp031952$","4688","Comp031952","0x3e7","Domain001","Proc149600","0x2e30","Proc664351.exe","5334792","0x2350","","","","","","","","",""
"Comp275585$","4688","Comp275585","0x3e7","Domain001","svchost","0x348","wmiprvse.exe","5334792","0x39ec","","","","","","","","",""
"User234507","4624","Comp658422","0x164c5d9","Domain001","","","","5334792","","Network","3","Comp795028","Kerberos","","","","",""
"User234507","4624","Comp658422","0x164c5f3","Domain001","","","","5334792","","Network","3","Comp795028","Kerberos","","","","",""
"Comp795028$","4624","Comp658422","0x164c61f","Domain001","","","","5334792","","Network","3","Comp795028","Kerberos","","","","",""
"Comp795028$","4624","Comp658422","0x164c62c","Domain001","","","","5334792","","Network","3","Comp795028","Kerberos","","","","",""
"User019287","4624","Comp658422","0x164c63c","Domain001","","","","5334792","","Network","3","Comp158520","Kerberos","","","","",""
"User019287","4624","Comp658422","0x164c67c","Domain001","","","","5334792","","Network","3","Comp158520","Kerberos","","","","",""
"User019287","4624","Comp658422","0x164c686","Domain001","","","","5334792","","Network","3","Comp158520","Kerberos","","","","",""
"User019287","4624","Comp658422","0x164c689","Domain001","","","","5334792","","Network","3","Comp158520","Kerberos","","","","",""
"User019287","4624","Comp658422","0x164c68a","Domain001","","","","5334792","","Network","3","Comp158520","Kerberos","","","","",""
